AirPassengers;power;speed
112;0;2.9
118;0;7.6
132;1.4;14.5
129;2.9;16.4
121;3;16.6
135;0;1.6
148;0.2;10.1
148;6.2;23.8
136;7.4;42.4
119;3.5;18.9
104;7.8;29.4
118;7.7;28.1
115;2;15.4
126;2.3;16.1
141;3.9;19.3
135;7.3;24.6
125;1.7;15.4
149;0;6.9
170;1.3;12.2
170;2;15.9
158;7.1;26.5
133;2.8;16.7
114;5.4;20.8
140;0;5
145;5.4;34.9
150;6;27.6
178;7.1;23.4
163;8.1;32.4
172;8;26.3
178;7.1;22.8
199;1.9;17.2
199;7.7;28.8
184;1.7;26.3
162;5.7;27.2
146;0;1.5
166;0;0
171;6.9;29.5
180;5.2;18.7
193;4;25.6
181;6;34.1
183;5;17.1
218;1.7;12.6
230;1.1;10.5
242;7.3;29.2
209;3.7;17.1
191;5.1;19.6
172;7.1;24.4
194;2.2;13.2
196;4;16.4
196;3.3;16
236;0;0
235;0;2.5
229;0;1.9
243;0;7.2
264;0.9;50.3
272;5.5;16.8
237;1;8.8
211;0;5.9
180;6.4;23.3
201;0;2.6
204;0.9;11.4
188;8.3;20.6
235;1.3;13.6
227;0;3.7
234;6.5;13.9
264;8.2;29.5
302;5.8;16.4
293;4.6;44.4
259;0.7;9.6
229;1.8;10.6
203;7.8;36.7
229;1.9;15.4
242;3.4;15.1
233;6.9;20.7
267;1;10.3
269;0.9;13.3
270;2.2;10.3
315;5.6;20.2
364;2.4;7.9
347;4;15.5
312;0;8.1
274;7.6;37.5
237;2;12.6
278;5.9;19
284;3.4;13.9
277;6.3;21.2
317;3.2;14.8
313;0;3.3
318;5.7;14.4
374;3.4;18.2
413;2.5;13.2
405;7.3;22.1
355;0.1;8.1
306;1.4;13
271;8.3;24.9
306;2.8;16.2
315;4.3;11.3
301;6.6;35.2
356;9;25.4
348;6.9;31.7
355;5.4;20.2
422;6;15.4
465;0.1;8.3
467;0.7;8.3
404;2.7;16.3
347;6;42.5
305;2.3;15.3
336;0;4.3
340;6.9;18.7
318;0;9.7
362;0.2;6.5
348;0;6.2
363;7.8;23.2
435;4.8;33.5
491;4.4;43.8
505;7.1;33.2
404;2.4;17.3
359;1.5;11
310;1.2;11.9
337;0.3;8.1
360;0;0.2
342;0.2;11.4
406;8.3;24.9
396;8.2;27.4
420;9;25.4
472;6;18.6
548;6.9;20.6
559;3.8;16.6
463;2.4;18
407;0;4.7
362;4.9;13.5
405;2.9;12.3
;0;5.7
;9.4;29.3
;3.3;14.3
;4;17.2
;8.9;23.4
;3.7;16.2
;0.3;10.5
;1.2;14.8
;0;2
;1.3;7.2
;0.4;12.4
;5.2;21.6
;1.8;15.8
;0.5;12.7
;8.5;36
;10.4;25.9
;3;16.9
;0.1;5.1
;0;0
;0;0
;1.5;10.7
;1;10.8
;0;4.8
;0.5;13.5
;5.3;20.2
;1.4;13.2
;1.8;13.3
;0;5.9
;3.6;11.3
;0.8;10.4
;2;15.3
;0.4;12
;8.6;26
;1.6;13.3
;2.1;16.5
;10.1;33.1
;7.1;20.1
;9.5;29.4
;8.8;20.6
;8.5;30.4
;9.7;24.5
;7.7;19.8
;2.5;16.1
;5.7;21.3
;9.8;25
;9.4;23.7
;8.3;18
;10.5;28.1
;8.4;25.7
;9.6;31.3
;7.5;19.4
;7.4;23
;5.6;15.3
;10.8;30.9
;7.7;19.1
;7;31.1
;6.7;0
;4.3;20.1
;0.2;12
;4;19.9
;3.8;19.8
;4.7;19.8
;7.1;31.2
;6.9;33.3
;6.9;26.1
;4.6;16.6
;6.5;23.9
;7;35.1
;7.1;27.4
;5.4;21.2
;8;23.4
;6;20.1
;6;21.1
;2.3;14.3
;4.7;18.2
;6.8;19.7
;7.4;20.1
;9.6;24.2
;7.7;18.3
;6.6;21.2
;6.5;22.1
;5.5;19.2
;5.5;18.1
;0.1;7
;0;3.7
;1.1;14.8
;0.8;12.2
;2.6;12.8
;0.5;11.1
;0;2.6
;3.2;12.9
;2.5;12.1
;2.2;13.1
;9.5;24.4
;1.6;15.8
;10.7;29
;9.9;29.7
;10.1;25.3
;9.2;24.7
;8.3;26.2
;7.4;23.6
;4.1;17
;0.5;11.1
;6.6;20.9
;8.9;24.9
;4.1;16.9
;0.1;7
;0.2;4.3
;0;0
;0.2;4.3
;0;0
;5.6;21.2
;10.6;32.6
;10.5;38.2
;8.5;24.3
;10.5;26.7
;9.4;26.4
;10.8;30.3
;7.9;22.7
;2;18.6
;1;12.5
;10.3;27.5
;10.7;32.8
;9.1;23.9
;10.3;30
;10.2;26
;0;0
;2.3;15.2
;0.3;9.5
;0;5.9
;0;0
;2;8.8
;5.1;16.1
;3;16.3
;0.4;7.2
;7.8;22.7
;0.5;11.9
;10.2;26.1
;1.9;9.5
;2.7;11.9
;3.7;15.4
;4.2;14.7
;9.9;28.1
;4;13.6
;1.6;12.1
;0;4.8
;0;1.3
;0;1.8
;0;7.9
;0;1.4
;0;0.1
;1.8;13
;0.4;3.1
;7;31.6
;7.5;25
;7.5;30.2
;6.1;27.9
;0.1;10.3
;8.9;25.9
;1.9;9.3
;3.3;16.1
;2.6;10.6
;1.9;9.8
;0.6;9.8
;1;8.7
;0;0
;0.2;10.8
;7.3;25.3
;8.2;36.5
;6.4;30
;0.4;11.6
;4;19.7
;0.7;10.5
;0.5;4.5
;6.2;15.5
;5;20.6
;6.6;36.1
;7.8;23.8
;0.2;2.1
;4.7;19.6
;0.2;7.9
;0.6;9.4
;0;0.8
;9.7;24.3
;0.5;11
;3.2;12.8
;7.9;29
;8.3;32.3
;0;2.8
;1.2;12.6
;6.7;22.3
;2.8;16.9
;2.6;13.8
;0;6.5
;4.6;15.2
;8.3;37.2
;3.7;15.9
;0;2.9
;2.4;15.1
;4.1;20
;0.5;11.9
;8.4;23.3
;8.6;28.4
;8.8;33.2
;4.2;18.9
;0;8.4
;1.3;14.4
;0;8.3
;1;13.7
;0;3.8
;0.2;7.9
;0;7.1
;3.1;15.7
;0;0.1
;0.1;9.4
;5.8;21
;7.1;33.1
;4.7;18.7
;0.2;9.3
;0;4.9
;6.4;22
;1.2;10.1
;1;9.5
;8.9;25.2
;8;35.5
;8.5;32
;1;10
;8.4;26.5
;2.3;55.9
;7.8;39
;6.4;21.2
;0.9;6.3
;9.5;28.6
;0;6.1
;0;7.6
;2.3;15
;5;19.6
;3.5;17.9
;0;8.7
;0;5.6
;7.2;27.6
;6.8;34.2
;6.4;23.6
;7.2;29.9
;6.8;28.9
;2.8;16.6
;0.7;10.6
;4;20.8
;6.5;23.6
;1.5;15.4
;0;9.2
;0.8;12.1
;1.8;15.5
;6.8;27.3
;6.1;22
;4.3;21.5
;0;1
;4.6;37
;4.8;28
;6.5;20.2
;5.9;23.6
;7.1;25
;6.2;23.2
;1.7;17.4
;6.4;24.8
;1.2;24.4
;4.6;28.2
;0;1.9
;0;0
;5.5;36
;5.7;22.5
;3.4;23.3
;4.7;31.3
;4.8;17.9
;2.5;13.4
;2.1;14.7
;6.1;30.3
;4.2;20.4
;6.6;25.2
;7;25.5
;0.8;11.2
;4.3;16.1
;3.3;16.9
;0;0
;0;1.7
;0;0
;0;6
;0;58.8
;4.3;14.1
;0.9;9.8
;0;8.6
;6.2;25.1
;0.2;8.7
;2.2;12.7
;6.2;16.5
;0.7;12.7
;0;7
;7.4;14.6
;7.6;30.3
;4.7;15.1
;5.6;45.7
;0.7;7.5
;1.9;9.7
;7.9;43.2
;1;13.3
;1.8;11.5
;5.4;17.6
;0.2;9.8
;0.4;11.1
;2.9;12
;6.6;23
;3.6;12.5
;0.7;8.7
;0;5.8
;6.3;42.5
;0;7.5
;2;8.9
;1.7;7.1
;6.5;22.2
;4.6;17
;0;2.6
;4.6;14.9
;1.6;14
;2.5;15.7
;6.7;22.7
;0;3.7
;1.3;13.9
;6;25.8
;3.8;17.7
;5.1;14.8
;7.3;32.9
;8.1;20.9
;6.1;32
;3.2;17.1
;7.5;18.1
;0;5.1
;0.3;6
;2.8;15.5
;4.4;34.4
;3.3;15.6
;0;5.7
;5.1;21.3
;0.2;8.3
;0.2;5.1
;0.5;13.8
;6.4;21.4
;2.4;31.4
;2.1;48.6
;4;28.4
;3.2;19.3
;0.3;5.7
;1.2;12
;0;3.7
;0;2
;0.5;11.7
;5;22.6
;5.4;27.6
;6.1;21
;4.7;19.3
;6;23
;1.5;14.4
;1.9;17.2
;0;2.6
;4.7;14
;2.4;11
;1.5;14.9
;8.2;24.1
;5.1;18.1
;2.8;12.2
;8.4;26.7
;3.2;16
;0.5;11
;0.7;14.2
;0;4.4
;1.2;7.3
;0.8;13.9
;5.3;22.4
;2;15.9
;1.4;13.4
;7.5;25.4
;8.7;26.8
;3.2;15.9
;0.3;5
;0;0
;0;0
;4;14
;0.5;9.9
;0;5.4
;0.8;14.2
;2.7;15.7
;1.2;11.7
;0.8;14.8
;0;6.6
;4.2;15.3
;1.8;13.7
;2.7;15
;0;8.2
;5.2;20.8
;1.1;13
;2.6;15.8
;9.3;29.1
;8.4;21.7
;8.5;24.9
;10.2;30
;8.8;26.9
;10.2;25.5
;10.6;30.6
;3.3;18.3
;7.6;23.7
;9.6;24.9
;10;28.9
;9.9;24.9
;9.6;20.4
;8.1;23.5
;6.5;21.7
;8.5;22.2
;8;24.5
;8.7;27.5
;10.4;31.1
;4.3;13
;7;34.1
;6;0
;5.1;21.8
;1;14.2
;3.9;20.5
;4;20.2
;4.8;21.3
;5.3;22
;6.9;35
;6.9;27.3
;2.4;0
;6.5;24.3
;6.5;35.7
;6.3;24.4
;5.3;20.6
;8.1;23.8
;6.1;20.6
;6.1;21.2
;3.2;15.4
;5.5;19.3
;6.4;18.8
;7.8;21.5
;9.3;24
;8.6;21.3
;6.9;22.5
;4.2;17.6
;5.2;18.8
;6.4;18.4
;0.1;6.4
;0;5.6
;1.4;15.1
;1.4;13.3
;4.9;17.8
;1;12.8
;0;0.4
;2.8;14.3
;2.8;14.6
;2.8;14.3
;9.3;23.9
;3.8;19.6
;10.7;29.5
;10.5;30.3
;10.8;29.2
;8;22.2
;8.2;26.2
;7.2;25
;8.4;24.3
;1.1;15.4
;5.5;20
;9.1;24.5
;4.8;18
;0.3;9
;0.7;8.5
;0;0
;0.7;8.5
