"datetime_utc","Generation_BE","Generation_FR","Prices.BE","holidaysBE"
"2016-10-31 00:00:00",9904.9425,48905,NA,0
"2016-10-31 01:00:00",9933.47,47671,NA,0
"2016-10-31 02:00:00",9965.575,46931,NA,0
"2016-10-31 03:00:00",10001.9525,46276,NA,0
"2016-10-31 04:00:00",10042.8275,46172,NA,0
"2016-10-31 05:00:00",10083.3725,46496,NA,0
"2016-10-31 06:00:00",10118.28,47717,NA,0
"2016-10-31 07:00:00",10274.7725,48661,NA,0
"2016-10-31 08:00:00",13446.8775,49897,NA,0
"2016-10-31 09:00:00",18211.52,50671,NA,0
"2016-10-31 10:00:00",22079.59,50967,NA,0
"2016-10-31 11:00:00",24227.49,50723,NA,0
"2016-10-31 12:00:00",24959.6825,50020,NA,0
"2016-10-31 13:00:00",24105.0225,50142,NA,0
"2016-10-31 14:00:00",21522.205,49682,NA,0
"2016-10-31 15:00:00",17218.695,48937,NA,0
"2016-10-31 16:00:00",12451.62,49420,NA,0
"2016-10-31 17:00:00",10396.785,50628,NA,0
"2016-10-31 18:00:00",10406.22,53468,NA,0
"2016-10-31 19:00:00",10430.45,55041,NA,0
"2016-10-31 20:00:00",10450.035,53535,NA,0
"2016-10-31 21:00:00",10469.3025,49893,NA,0
"2016-10-31 22:00:00",10487.0775,49037,NA,0
"2016-10-31 23:00:00",10409.3,49094,NA,0
"2016-11-01 00:00:00",10427.2025,49118,NA,1
"2016-11-01 01:00:00",10453.6375,47890,NA,1
"2016-11-01 02:00:00",10465.7575,47158,NA,1
"2016-11-01 03:00:00",10477.335,45991,NA,1
"2016-11-01 04:00:00",10489.5375,45378,NA,1
"2016-11-01 05:00:00",10502.59,45471,NA,1
"2016-11-01 06:00:00",10512.6025,45781,NA,1
"2016-11-01 07:00:00",10609.52,46135,NA,1
"2016-11-01 08:00:00",12709.5525,46257,NA,1
"2016-11-01 09:00:00",16036.0025,46982,NA,1
"2016-11-01 10:00:00",18656.4025,46648,NA,1
"2016-11-01 11:00:00",19855.52,46556,NA,1
"2016-11-01 12:00:00",19428.9725,46976,NA,1
"2016-11-01 13:00:00",17862.7625,47068,NA,1
"2016-11-01 14:00:00",15708.865,46459,NA,1
"2016-11-01 15:00:00",13570.85,46186,NA,1
"2016-11-01 16:00:00",11659.1225,46295,NA,1
"2016-11-01 17:00:00",10891.69,46919,NA,1
"2016-11-01 18:00:00",10865.3025,50224,NA,1
"2016-11-01 19:00:00",10834.52,51960,NA,1
"2016-11-01 20:00:00",10806.285,51040,NA,1
"2016-11-01 21:00:00",10789.075,49577,NA,1
"2016-11-01 22:00:00",10788.275,49011,NA,1
"2016-11-01 23:00:00",10801.675,49661,NA,1
"2016-11-02 00:00:00",10835.35,49545,NA,0
"2016-11-02 01:00:00",10881.49,48141,NA,0
"2016-11-02 02:00:00",10938.13,48062,NA,0
"2016-11-02 03:00:00",10991.435,46844,NA,0
"2016-11-02 04:00:00",11035.3075,46999,NA,0
"2016-11-02 05:00:00",11063.4475,48123,NA,0
"2016-11-02 06:00:00",11071.2075,49777,NA,0
"2016-11-02 07:00:00",11134.445,51954,NA,0
"2016-11-02 08:00:00",13661.1275,53256,NA,0
"2016-11-02 09:00:00",17764.445,54103,NA,0
"2016-11-02 10:00:00",21260.5025,53360,NA,0
"2016-11-02 11:00:00",23339.5975,53098,NA,0
"2016-11-02 12:00:00",23208.1,52528,NA,0
"2016-11-02 13:00:00",21612.3,52373,NA,0
"2016-11-02 14:00:00",19359.4425,52193,NA,0
"2016-11-02 15:00:00",16262.97,51720,NA,0
"2016-11-02 16:00:00",12549.375,51770,NA,0
"2016-11-02 17:00:00",10998.7825,53063,NA,0
"2016-11-02 18:00:00",11192.715,56520,NA,0
"2016-11-02 19:00:00",11179.0925,57181,NA,0
"2016-11-02 20:00:00",11154.285,55481,NA,0
"2016-11-02 21:00:00",11117.07,53053,NA,0
"2016-11-02 22:00:00",11072.5475,51525,NA,0
"2016-11-02 23:00:00",10990.8875,51377,NA,0
"2016-11-03 00:00:00",10881.5875,51703,NA,0
"2016-11-03 01:00:00",10849.835,49734,NA,0
"2016-11-03 02:00:00",10814.17,49382,NA,0
"2016-11-03 03:00:00",10767.87,48750,NA,0
"2016-11-03 04:00:00",10712.785,48003,NA,0
"2016-11-03 05:00:00",10659.1625,48556,NA,0
"2016-11-03 06:00:00",10613.5475,51194,NA,0
"2016-11-03 07:00:00",10627.62,53892,NA,0
"2016-11-03 08:00:00",12259.4625,55375,NA,0
"2016-11-03 09:00:00",15350.6975,55067,NA,0
"2016-11-03 10:00:00",18112.895,54493,NA,0
"2016-11-03 11:00:00",19897.595,53557,NA,0
"2016-11-03 12:00:00",20122.22,53126,NA,0
