"datetime_utc","Generation_BE","Generation_FR","Prices.BE","holidaysBE"
"2010-01-04 00:00:00",13143.7,63599,37.15,0
"2010-01-04 01:00:00",13143.7,62212,33.47,0
"2010-01-04 02:00:00",13143.7,62918,28,0
"2010-01-04 03:00:00",13143.7,62613,21.29,0
"2010-01-04 04:00:00",13143.7,62432,16.92,0
"2010-01-04 05:00:00",13143.7,63411,28,0
"2010-01-04 06:00:00",13143.7,65522,36.43,0
"2010-01-04 07:00:00",13143.7,70201,59.47,0
"2010-01-04 08:00:00",13143.7,72381,59.73,0
"2010-01-04 09:00:00",13143.7,72696,62.1,0
"2010-01-04 10:00:00",13143.7,73142,62.74,0
"2010-01-04 11:00:00",13143.7,73739,62.65,0
"2010-01-04 12:00:00",13143.7,73920,62.51,0
"2010-01-04 13:00:00",13143.7,73130,59.92,0
"2010-01-04 14:00:00",13143.7,71578,56,0
"2010-01-04 15:00:00",13143.7,70080,49.67,0
"2010-01-04 16:00:00",13143.7,71182,54.4,0
"2010-01-04 17:00:00",13143.7,74399,71.11,0
"2010-01-04 18:00:00",13151.7,76782,78.77,0
"2010-01-04 19:00:00",13151.7,76243,64.46,0
"2010-01-04 20:00:00",13151.7,74010,50.73,0
"2010-01-04 21:00:00",13151.7,70579,43.9,0
"2010-01-04 22:00:00",13151.7,69385,46.58,0
"2010-01-04 23:00:00",13151.7,68629,43.38,0
"2010-01-05 00:00:00",13152.7,67133,37.9,0
"2010-01-05 01:00:00",13152.7,65352,38.11,0
"2010-01-05 02:00:00",13152.7,65511,29.99,0
"2010-01-05 03:00:00",13152.7,64905,28.91,0
"2010-01-05 04:00:00",13151.7,65110,27,0
"2010-01-05 05:00:00",13151.7,65490,29.56,0
"2010-01-05 06:00:00",13151.7,67296,40.94,0
"2010-01-05 07:00:00",13152.7,71363,55,0
"2010-01-05 08:00:00",13152.7,71984,55.5,0
"2010-01-05 09:00:00",13152.7,72673,57.1,0
"2010-01-05 10:00:00",13151.7,72810,57,0
"2010-01-05 11:00:00",13151.7,73326,58,0
"2010-01-05 12:00:00",13151.7,72962,57,0
"2010-01-05 13:00:00",13149.7,72817,56.17,0
"2010-01-05 14:00:00",13148.7,71430,56.28,0
"2010-01-05 15:00:00",13148.7,69825,53.54,0
