"CA","TX","WI","Total","date","event_type","snap_CA","snap_TX","snap_WI"
11047,7381,6984,25412,2011-02-01,NA,1,1,0
9925,5912,3309,19146,2011-02-02,NA,1,0,1
11322,9006,8883,29211,2011-02-03,NA,1,1,1
12251,6226,9533,28010,2011-02-04,NA,1,0,0
16610,9440,11882,37932,2011-02-05,NA,1,1,1
14696,9376,8664,32736,2011-02-06,"Sporting",1,1,1
11822,7319,6431,25572,2011-02-07,NA,1,1,0
10933,6224,5914,23071,2011-02-08,NA,1,0,1
10350,6740,6568,23658,2011-02-09,NA,1,1,1
11204,6109,6443,23756,2011-02-10,NA,1,0,0
11354,7202,7889,26445,2011-02-11,NA,0,1,1
14610,10081,10142,34833,2011-02-12,NA,0,1,1
15630,11725,9025,36380,2011-02-13,NA,0,1,0
9044,6719,6041,21804,2011-02-14,"Cultural",0,0,1
9496,7460,7114,24070,2011-02-15,NA,0,1,1
8844,6606,5993,21443,2011-02-16,NA,0,0,0
7835,6412,6071,20318,2011-02-17,NA,0,0,0
10025,6711,6985,23721,2011-02-18,NA,0,0,0
13870,9150,8669,31689,2011-02-19,NA,0,0,0
13465,9789,6029,29283,2011-02-20,NA,0,0,0
11997,7297,4672,23966,2011-02-21,"National",0,0,0
9130,6628,4743,20501,2011-02-22,NA,0,0,0
8941,5814,6002,20757,2011-02-23,NA,0,0,0
8514,6175,5588,20277,2011-02-24,NA,0,0,0
9847,6286,6396,22529,2011-02-25,NA,0,0,0
13652,8586,7670,29908,2011-02-26,NA,0,0,0
12491,9086,7130,28707,2011-02-27,NA,0,0,0
9196,6555,5489,21240,2011-02-28,NA,0,0,0
9782,7082,6008,22872,2011-03-01,NA,1,1,0
9537,6145,6364,22046,2011-03-02,NA,1,0,1
9710,6639,7126,23475,2011-03-03,NA,1,1,1
10444,6584,6544,23572,2011-03-04,NA,1,0,0
13784,9238,8180,31202,2011-03-05,NA,1,1,1
16057,10423,8396,34876,2011-03-06,NA,1,1,1
10953,7623,5986,24562,2011-03-07,NA,1,1,0
10299,6335,6118,22752,2011-03-08,NA,1,0,1
9951,6941,5668,22560,2011-03-09,"Religious",1,1,1
10012,6339,6275,22626,2011-03-10,NA,1,0,0
11189,7203,7180,25572,2011-03-11,NA,0,1,1
13710,9271,9244,32225,2011-03-12,NA,0,1,1
14340,9542,7535,31417,2011-03-13,NA,0,1,0
10722,7745,6468,24935,2011-03-14,NA,0,0,1
9293,7834,6894,24021,2011-03-15,NA,0,1,1
9752,6768,6245,22765,2011-03-16,"Religious",0,0,0
9504,6759,5516,21779,2011-03-17,"Cultural",0,0,0
10030,7131,6694,23855,2011-03-18,NA,0,0,0
